,Fertility,Meat consumption,Regional indicator
235,4.7,13.0,Sub-Saharan Africa
236,4.7,13.0,Sub-Saharan Africa
237,4.7,13.0,Sub-Saharan Africa
238,4.7,13.0,Sub-Saharan Africa
239,4.7,6.5,Sub-Saharan Africa
240,4.7,6.5,Sub-Saharan Africa
241,4.7,6.5,Sub-Saharan Africa
242,4.7,6.5,Sub-Saharan Africa
243,4.7,6.5,Sub-Saharan Africa
244,4.7,6.5,Sub-Saharan Africa
245,4.7,6.5,Sub-Saharan Africa
246,4.7,6.5,Sub-Saharan Africa
247,4.7,6.5,Sub-Saharan Africa
248,4.7,6.5,Sub-Saharan Africa
249,4.7,6.5,Sub-Saharan Africa
250,4.7,6.5,Sub-Saharan Africa
251,4.7,6.5,Sub-Saharan Africa
252,4.7,6.5,Sub-Saharan Africa
253,4.7,6.5,Sub-Saharan Africa
254,4.7,6.5,Sub-Saharan Africa
255,4.7,6.5,Sub-Saharan Africa
256,4.7,6.5,Sub-Saharan Africa
257,4.7,6.5,Sub-Saharan Africa
258,4.7,6.5,Sub-Saharan Africa
259,4.7,6.5,Sub-Saharan Africa
260,4.7,6.5,Sub-Saharan Africa
261,4.7,6.5,Sub-Saharan Africa
262,4.7,6.5,Sub-Saharan Africa
263,4.7,6.5,Sub-Saharan Africa
264,4.7,6.5,Sub-Saharan Africa
265,4.7,6.5,Sub-Saharan Africa
266,4.7,6.5,Sub-Saharan Africa
267,4.7,6.5,Sub-Saharan Africa
268,4.7,6.5,Sub-Saharan Africa
269,4.7,6.5,Sub-Saharan Africa
270,4.7,6.5,Sub-Saharan Africa
271,4.7,13.0,Sub-Saharan Africa
272,4.7,13.0,Sub-Saharan Africa
273,4.7,13.0,Sub-Saharan Africa
274,4.7,13.0,Sub-Saharan Africa
275,4.7,13.0,Sub-Saharan Africa
276,4.7,13.0,Sub-Saharan Africa
277,4.7,13.0,Sub-Saharan Africa
278,4.7,13.0,Sub-Saharan Africa
279,4.7,13.0,Sub-Saharan Africa
280,4.7,13.0,Sub-Saharan Africa
281,4.7,13.0,Sub-Saharan Africa
282,4.7,13.0,Sub-Saharan Africa
283,4.7,13.0,Sub-Saharan Africa
284,4.7,13.0,Sub-Saharan Africa
285,4.7,13.0,Sub-Saharan Africa
286,4.7,13.0,Sub-Saharan Africa
287,4.7,13.0,Sub-Saharan Africa
288,4.7,13.0,Sub-Saharan Africa
289,4.7,13.0,Sub-Saharan Africa
290,4.7,13.0,Sub-Saharan Africa
291,4.7,13.0,Sub-Saharan Africa
292,4.7,13.0,Sub-Saharan Africa
293,4.7,13.0,Sub-Saharan Africa
294,4.7,13.0,Sub-Saharan Africa
295,4.7,13.0,Sub-Saharan Africa
296,4.7,13.0,Sub-Saharan Africa
297,4.7,13.0,Sub-Saharan Africa
298,4.7,13.0,Sub-Saharan Africa
299,4.7,13.0,Sub-Saharan Africa
300,4.7,13.0,Sub-Saharan Africa
301,4.7,13.0,Sub-Saharan Africa
302,4.7,13.0,Sub-Saharan Africa
303,4.5,6.5,Sub-Saharan Africa
304,4.5,6.5,Sub-Saharan Africa
305,4.5,6.5,Sub-Saharan Africa
306,4.5,6.5,Sub-Saharan Africa
307,4.5,6.5,Sub-Saharan Africa
308,4.5,6.5,Sub-Saharan Africa
309,4.5,6.5,Sub-Saharan Africa
310,4.5,6.5,Sub-Saharan Africa
311,4.5,6.5,Sub-Saharan Africa
312,4.5,6.5,Sub-Saharan Africa
313,4.5,6.5,Sub-Saharan Africa
314,4.5,6.5,Sub-Saharan Africa
315,4.5,6.5,Sub-Saharan Africa
316,4.5,6.5,Sub-Saharan Africa
317,4.5,6.5,Sub-Saharan Africa
318,4.5,6.5,Sub-Saharan Africa
319,4.5,6.5,Sub-Saharan Africa
320,4.5,6.5,Sub-Saharan Africa
321,4.5,6.5,Sub-Saharan Africa
